id,empresa_id,camada,encontrado,evidencia,fonte_url,checado_em,publicado_em
56,1,institucional,true,"...Nós 50+1 Blog Humberger Toggle Menu Fazer Login Gerir marketing e eventos em um cenário complexo e fragmentado exige novos modelos. A BPool organiza esse ecossistema, permitindo que grandes marcas se con...",https://bpool.co/,2026-06-28 12:18:36.569719+00,
57,3,institucional,false,,https://boom.com.br,2026-06-28 12:19:27.913845+00,
58,4,institucional,false,,https://celero.com.br,2026-06-28 12:19:35.478282+00,
59,6,institucional,false,,https://daki.io,2026-06-28 12:19:49.284978+00,
60,8,institucional,false,,https://helion.com.br,2026-06-28 12:20:38.654329+00,
61,9,institucional,true,"...d copy routing. We sign on our side with KMS so your trades land the same block as the whale's. DefiLlama verified Self-custody, verified on-chain Your funds, your keys. Our FeeCollector contract is open-s...",https://kalshi.io/,2026-06-28 12:20:43.005342+00,
62,10,institucional,true,...Preto Red Rojo Roxo Silver Verde Vermelho White Buscar por filiais Arena Santo André Atibaia Bauru Bragança Paulista Campinas Campinas Imperatriz Embu das Artes Em trânsito Flash Paulista Flash Sorocaba...,https://kavak.com.br/,2026-06-28 12:20:47.210136+00,
63,11,institucional,false,,https://loggi.com,2026-06-28 12:21:29.194518+00,
64,12,institucional,true,"...são, acelere o crescimento, conquiste resultados tangíveis com análises inteligentes e com o uso da inteligência artificial. Visualizar IA IA Acelere sua produtividade, transforme o ciclo da sua área de desenvolvimento inco...",https://nava.com.br/,2026-06-28 12:21:59.361174+00,
65,14,institucional,false,,https://srmventures.com.br,2026-06-28 12:23:24.316555+00,
66,16,institucional,false,,https://sensetime.com.br,2026-06-28 12:23:32.879062+00,
67,18,institucional,false,,https://sinatraai.com,2026-06-28 12:24:21.403856+00,
68,19,institucional,false,,https://spectra.com.br,2026-06-28 12:24:29.066124+00,
69,20,institucional,false,,https://speedbirdaero.com,2026-06-28 12:25:17.659202+00,
70,21,institucional,false,,https://tracefinance.com,2026-06-28 12:25:28.100832+00,
71,22,institucional,false,,https://triaxis.com.br,2026-06-28 12:25:43.209555+00,
72,24,institucional,false,,https://whatsapp.com,2026-06-28 12:25:51.901025+00,
73,25,institucional,false,,https://z-ro.com,2026-06-28 12:26:41.03254+00,
74,5,institucional,false,,https://dnacapital.com.br,2026-06-28 12:27:27.482815+00,
75,7,institucional,false,,https://domovc.com,2026-06-28 12:28:23.738048+00,
76,17,institucional,false,,https://shopper.com.br,2026-06-28 12:28:32.87115+00,
77,23,institucional,true,"...s para o seu dia a dia Oferta Recomendada Oferta Exclusiva no site ⚡ Vivo Fibra 600 Mega 6 meses de Gemini, a IA do Google Após 6 meses R$ 24,99/mês (Aperter ""Enter"" para fechar) De R$ 120 Valor R$ {{ total...",https://vivo.com.br/,2026-06-28 12:28:35.287247+00,
78,2,institucional,false,,https://btgpactual.com,2026-06-28 12:29:43.43527+00,
